T_star,T_k,Var_star,Var_k,PT_star,PT_k,PoR,VarRed,PTgain
2143.09,2240.955,240178.03142500002,221624.31345,2949.2709706801793,3015.3715111898996,0.04566537102968134,0.07724985447219712,-0.02241250165442607
1586.3850000000002,1656.79,143843.998325,108249.43207499999,2210.2803883203565,2198.0160797769745,0.04438077768007119,0.24745256433694174,0.005548756894459843
1939.0549999999998,1975.3100000000004,138122.06815,126408.29315,2550.4155887408865,2560.1723782320328,0.01869725201193394,0.08480741098720657,-0.0038255684815520948
660.59,660.59,40110.440625,40110.440625,990.0438739979629,990.0438739979629,0.0,0.0,0.0
2131.1549999999997,2218.52,364226.10157500004,299734.38362499996,3123.9313778991163,3119.124649915178,0.04099420267413691,0.17706506390157817,0.0015386791201447358
2285.565,2485.565,198929.76454999996,226239.372125,3019.2603837366114,3268.003110622529,0.0875057152170251,-0.13728266173127612,-0.08238531801555847
1164.205,1164.3600000000001,62221.20479999999,65893.784225,1574.5367386200096,1586.627956939022,0.0001331380641727188,-0.0590245630377122,-0.007679222734179957
1594.3899999999999,1725.185,141286.2175,169310.32305,2212.7135695899333,2402.058671323812,0.08203450849541209,-0.1983498889408657,-0.08557144690397904
835.8799999999999,1002.4,84676.25025000001,110569.5504,1314.561574831073,1549.3953999999999,0.19921519835383084,-0.3057917665644385,-0.17864041492244606
1806.1999999999998,1962.4050000000002,163147.29855,130461.150275,2470.640116608535,2556.5692316505656,0.08648267080057602,0.20034746860967867,-0.0347801019113969
3090.7400000000002,3127.1150000000002,1088914.6178,320629.689525,4807.31513049451,4058.5826352922245,0.01176902618790322,0.7055511200935225,0.1557485779230093
2155.635,2264.28,168167.68807500004,167815.96364999996,2830.220775215541,2938.1599544696305,0.050400462044826684,0.002091510141016051,-0.03813807749533931
3030.79,3149.19,313276.206625,256919.5514,3951.5143056596344,3982.9949706479238,0.03906572213845238,0.17989446384117014,-0.007966734409439081
783.21,960.75,49550.288075,56500.363724999996,1149.3852562478137,1351.7632948493479,0.2266824989466426,-0.14026307252705106,-0.17607502575959647
1968.225,1978.785,255905.22065,233929.92917499997,2800.3823917892073,2774.4106887480316,0.005365240254544157,0.08587277515942315,0.00927434164609998
2159.2200000000003,2383.1850000000004,394595.539,308842.86264999997,3192.5570183161326,3297.371254218727,0.10372495623419574,0.21731790624728786,-0.03283081094597863
1474.835,1499.755,162515.44112499998,133887.7403,2137.9872046787436,2101.6715826302743,0.016896805405350476,0.17615372808163354,0.016985893072230127
1278.7749999999999,1349.205,76703.810275,60515.95205000001,1734.3651976550932,1753.874839679338,0.05507614709389851,0.21104372999154752,-0.011248866184943277
1136.1950000000002,1290.42,65735.90960000001,70393.25300000001,1557.956798620193,1726.866906793169,0.13573814354050132,-0.07084930334637063,-0.10841770986369548
1412.5599999999997,1508.5,96365.0739,142208.361525,1923.2128165987604,2128.838118686647,0.06791923882879333,-0.4757251332839998,-0.10691760179278485
973.6899999999998,1180.045,61874.5042,75578.62655,1382.8769441072195,1632.281279957683,0.2119309020324747,-0.22148253997645773,-0.180351792625683
2712.7449999999994,2892.7799999999997,413086.01875,198827.64234999995,3770.0155868830207,3626.287035337875,0.0663663558498865,0.5186773860038807,0.03812412660712046
1386.64,1477.24,70316.11415000001,59834.234150000004,1822.8477060217458,1879.6240621418222,0.06533779495759527,0.14906796438779035,-0.031147065074343092
958.2900000000001,1124.555,92539.021425,59658.400075,1458.7027351013219,1526.3473867657922,0.1735017583403771,0.3553162854293712,-0.046373157488987425
2728.935,3042.315,380532.7505999999,288344.513675,3743.6916882964433,3925.6424945440067,0.11483600745345716,0.2422609795862336,-0.048601974039790545
431.09,468.865,43529.190075,18477.698725000006,774.2970462165686,692.4742902638845,0.0876267136792782,0.5755101647156019,0.10567359949581732
2208.39,2208.39,241898.80130000002,241898.80130000002,3017.453782274199,3017.453782274199,0.0,0.0,0.0
2259.2549999999997,2406.375,194573.737475,200898.18217499997,2984.87294213676,3143.691420148164,0.06511881128956243,-0.03250410246558877,-0.05320778508505358
2045.8349999999998,2283.4399999999996,148703.57509999996,122050.96887500002,2680.181586504552,2858.1338080838973,0.11614084224778626,0.17923312339381636,-0.06639558396915476
2726.895,2799.89,247482.14057499997,197024.741375,3545.242639728657,3530.063866814805,0.026768540776230802,0.20388299164847712,0.004281448255122543
2481.45,2606.5550000000003,316322.42834999994,313506.1556249999,3406.63992600212,3527.617155761022,0.05041608736827278,0.008903171171548818,-0.035512185727499375
662.6700000000001,673.7149999999999,26110.518825,26450.539250000005,928.4814307237758,941.2515778243812,0.01666742119003402,-0.013022354219727195,-0.013753799136995929
